'Start Hour','Start Minute','End Hour','End Minute','Start Station','End Station'
22,2,23,15,31204,31248
22,3,22,27,31600,31404
22,1,23,16,31204,31248
22,1,22,32,31216,31300
22,1,22,42,31215,31624
22,1,22,19,31265,31245
22,1,22,19,31245,31611
22,0,22,19,31203,31245
22,0,22,7,31215,31257
22,0,22,22,31252,31623
22,0,22,8,31404,31207
22,0,22,11,31625,31616
22,0,22,3,31313,31300
22,0,22,11,31278,31266
22,0,22,3,32008,32048
22,0,22,9,31604,31203
22,1,22,42,31215,31624
21,59,22,15,31200,31602
21,59,22,42,31215,31624
21,59,22,42,31215,31624
21,59,22,12,31634,31629
21,59,22,18,31602,31514
21,59,22,20,31272,31237
21,59,22,9,31105,31109
21,59,23,16,31204,31248
21,59,22,2,31229,31214
21,59,22,12,31250,31281
21,59,22,3,31103,31214
21,59,22,7,31239,31223
21,59,22,7,31607,31618
21,59,22,9,31105,31109
21,58,22,23,32051,32051
21,58,22,1,32000,32027
21,58,22,10,31211,31267
21,58,22,19,31247,31616
21,58,22,13,31209,31288
21,58,22,8,31289,31257
21,58,22,1,31613,31629
21,58,22,2,31275,31255
21,58,22,19,31209,31611
21,59,22,6,31611,31627
21,57,22,11,31224,31263
21,57,22,8,31202,31600
21,57,22,14,31101,31274
21,57,22,6,31109,31503
21,57,22,12,31203,31118
21,56,22,13,31208,31614
21,56,22,8,31209,31629
21,56,22,21,31503,31517
21,56,22,23,32051,32051
21,56,22,18,31228,31307
21,56,22,25,31209,31214
21,56,22,11,31224,31263
21,55,22,14,31209,31621
21,55,22,23,32051,32051
21,55,22,16,31203,31616
21,55,21,57,31213,31213
21,55,22,20,32041,32041
21,55,22,6,31201,31204
21,55,22,4,31266,31604
21,55,22,5,31122,31121
21,55,22,9,31257,31285
21,55,22,5,31122,31278
21,54,21,59,31602,31107
21,54,22,12,31237,31240
21,54,22,22,31300,31100
21,54,22,3,31606,31208
21,54,22,12,31237,31240
21,54,22,12,31237,31240
21,54,22,12,31623,31607
21,54,22,16,31203,31616
21,54,21,59,31405,31404
21,54,22,3,31605,31627
21,54,22,8,31603,31266
21,55,22,10,31109,31104
21,55,22,14,31284,31268
21,53,22,1,31101,31602
21,53,22,7,31257,31201
21,53,22,2,31400,31120
21,53,22,9,31211,31213
21,53,22,1,31117,31104
21,53,21,59,31201,31229
21,53,21,59,31201,31229
21,54,22,17,31212,31244
21,53,22,4,31611,31626
21,54,22,11,31623,31607
21,52,22,7,31114,31615
21,52,22,0,31103,31201
21,52,22,27,31209,31277
21,52,22,2,31266,31285
21,52,22,12,31288,31289
21,52,22,3,31606,31208
21,52,22,7,31208,31616
21,52,22,6,31300,31106
21,52,22,1,31109,31229
21,51,22,11,31246,31400
21,51,21,59,31616,31611
21,51,21,52,31211,31211
21,51,22,0,31607,31614
21,52,22,5,31607,31615
21,50,22,10,31228,31014
21,50,22,4,31262,31609
21,50,22,20,31258,31216
21,50,22,21,31258,31216
21,50,22,0,31104,31101
21,51,22,51,31604,31271
21,49,22,3,31215,31258
21,49,22,3,31214,31505
21,49,22,10,31263,31102
21,49,22,18,31209,31278
21,49,22,21,31607,31611
21,49,22,20,31120,31613
21,49,22,21,31607,31611
21,49,22,5,31211,31246
21,50,21,57,31203,31268
21,50,22,1,31232,31286
21,48,21,56,31223,31101
21,48,22,33,31258,31249
21,48,22,4,31225,31239
21,48,22,33,31258,31249
21,48,21,54,31022,31065
21,48,21,54,31213,31213
21,48,21,57,31275,31200
21,49,21,57,31275,31200
21,49,22,1,31025,31089
21,47,22,9,31209,31615
21,47,22,34,31258,31249
21,47,21,56,31213,31116
21,47,22,9,31244,31285
21,47,22,10,31244,31285
21,46,22,4,31209,31629
21,46,22,0,31214,31636
21,46,21,50,31229,31201
21,46,22,3,31079,31215
21,46,22,41,31209,31218
21,46,21,53,31302,31307
21,46,22,8,31623,31272
21,46,21,57,31037,31079
21,46,21,54,31615,31619
21,46,21,50,31234,31285
21,46,21,57,31602,31202
21,47,22,33,31258,31249
21,45,21,50,31214,31101
21,45,22,45,31269,31001
21,45,21,56,31289,31231
21,45,22,3,31620,31214
21,45,22,4,32010,31411
21,45,22,8,31027,31285
21,45,21,49,31019,31079
21,45,21,52,31116,31200
21,45,21,50,31281,31109
21,44,21,46,31104,31121
21,44,21,56,31289,31231
21,44,22,6,31201,31513
21,44,22,2,31209,31632
21,44,21,58,31604,31285
21,44,22,3,31246,31286
21,44,22,34,31258,31249
21,44,22,34,31258,31249
21,45,21,58,31203,31602
21,43,21,50,31203,31212
21,43,22,2,31628,31265
21,43,21,47,31600,31604
21,43,21,52,31628,31618
21,43,22,0,31408,31404
21,43,22,43,31260,31260
21,43,21,50,31229,31229
21,42,21,46,31281,31266
21,42,22,1,31406,31278
21,42,21,50,31286,31105
21,42,21,45,31613,31629
21,42,21,57,31211,31101
21,42,21,47,31201,31251
21,42,22,1,31270,31622
21,42,21,51,31024,31038
21,42,21,48,31101,31278
21,43,21,59,31270,31623
21,43,21,50,31211,31250
21,41,21,57,31211,31223
21,41,21,46,31616,31623
21,41,21,55,31623,31612
21,41,21,57,31622,31618
21,41,21,52,31404,31403
21,41,21,44,31104,31117
21,41,22,1,31613,31624
21,41,22,13,31101,31244
21,41,22,13,31101,31244
21,41,21,50,31016,31246
21,41,21,57,31226,31300
21,41,22,3,31613,31624
21,41,21,57,31406,31117
21,42,21,56,31201,31115
21,40,21,47,31286,31234
21,40,21,59,31215,31028
21,40,21,49,31007,31010
21,40,22,9,31616,31272
21,40,22,22,31235,31228
21,40,21,42,31229,31214
21,40,22,0,31215,31028
21,40,21,45,31202,31286
21,40,21,51,31407,31404
21,40,21,52,31265,31268
21,39,22,0,31604,31103
21,39,21,59,31215,31028
21,39,21,57,31013,31013
21,39,21,45,31115,31109
21,39,21,45,31615,31622
21,39,21,51,31120,31267
21,39,21,45,31257,31200
21,38,21,57,31600,31505
21,38,22,0,31241,31208
21,38,22,22,31235,31228
21,38,21,53,31119,31505
21,38,21,45,31248,31262
21,38,21,42,31089,31029
21,38,21,48,31266,31119
21,38,21,44,31102,31268
21,38,22,3,31613,31202
21,39,21,50,31101,31110
21,37,21,44,31071,31013
21,37,21,50,31269,31609
21,37,21,40,31123,31101
21,37,22,37,31624,31271
21,37,21,42,31627,31505
21,36,21,58,31267,31265
21,36,21,40,31400,31404
21,36,21,53,31257,31232
21,36,21,42,31111,31203
21,36,21,40,31269,31613
21,36,22,37,31624,31271
21,36,21,40,31269,31613
21,36,21,39,31281,31286
21,36,21,49,31201,31285
21,37,22,20,31007,31011
21,35,21,54,31507,31623
21,35,21,53,31507,31623
21,35,21,42,31279,31215
21,35,21,42,31623,31632
21,35,21,41,31624,31519
21,35,22,41,32048,32021
21,35,21,38,31286,31203
21,35,21,38,31117,31101
21,35,22,1,31602,31279
21,35,22,39,32048,32021
21,36,21,48,31202,31121
21,36,21,45,31101,31102
21,34,21,38,31037,31024
21,34,21,50,31109,31623
21,34,21,49,31274,31641
21,35,21,41,31232,31218
21,35,21,45,31224,31223
21,35,21,50,31232,31200
21,33,21,42,31285,31260
21,33,22,14,31228,31014
21,33,21,40,31000,31090
21,33,22,1,32003,32003
21,33,22,0,32003,32003
21,33,21,44,31109,31506
21,33,21,47,31288,31605
21,33,21,43,31280,31115
21,32,22,1,31602,31609
21,32,22,3,31258,31251
21,32,21,36,31801,31803
21,32,21,45,31275,31263
21,32,21,41,31618,31616
21,32,21,40,31000,31090
21,32,22,2,31227,31259
21,33,21,47,31209,31607
21,33,21,43,31110,31123
21,33,21,38,31102,31122
21,33,21,48,31203,31513
21,31,21,41,31019,31031
21,31,21,34,31114,31104
21,31,21,58,31603,31627
21,31,21,38,31107,31229
21,31,23,19,31101,31208
21,31,21,51,31404,31232
21,31,21,45,31209,31244
21,31,21,34,32000,32027
21,31,21,33,31605,31605
21,31,21,39,31618,31607
21,32,21,58,31603,31627
21,30,21,42,31208,31630
21,30,21,42,31265,31614
21,30,21,54,31400,31110
21,30,21,33,31229,31101
21,30,21,46,31279,31278
21,29,21,48,31244,31505
21,29,21,46,31258,31249
21,29,21,37,31634,31802
21,29,21,47,31506,31104
21,29,22,19,31289,31289
21,29,21,56,31225,31214
21,29,21,45,31208,31601
21,29,21,55,31266,31275
21,30,22,21,31289,31289
21,28,21,40,31627,31616
21,28,21,37,31641,31508
21,28,21,39,31265,31627
21,28,21,42,31229,31600
21,28,21,49,31246,31307
21,28,21,46,31258,31249
21,28,21,32,31012,31007
21,28,21,36,31242,31230
21,28,21,49,31268,31239
21,29,21,34,31601,31632
21,29,21,49,31268,31239
21,27,22,24,31101,31109
21,27,21,33,31101,31114
21,27,21,36,31638,31508
21,26,22,18,31249,31244
21,26,21,37,31512,31607
21,26,21,30,31113,31117
21,26,22,17,31249,31244
21,26,22,4,31259,31247
21,26,22,11,31209,31203
21,26,21,42,31101,31121
21,26,21,45,31247,31628
21,26,21,46,31247,31628
21,26,22,11,31273,31273
21,26,22,11,31273,31273
21,26,21,29,31011,31007
21,26,21,29,31011,31007
21,25,21,44,31605,31509
21,25,22,4,31259,31247
21,25,21,39,31400,31400
21,25,23,53,31289,31110
21,25,21,33,31640,31623
21,25,21,34,31228,31519
21,25,21,31,31117,31107
21,25,22,2,31627,31500
21,25,21,33,31224,31101
21,25,21,36,31512,31607
21,26,21,42,31609,31606
21,26,21,35,31641,31622
21,24,21,47,31215,31314
21,24,21,32,31277,31246
21,24,21,50,31277,31105
21,24,21,50,31277,31105
21,24,21,35,31285,31214
21,24,21,35,31285,31214
21,24,21,28,32008,32048
21,25,21,56,31200,31600
21,25,21,56,31200,31241
21,23,21,32,31205,31241
21,23,22,6,31285,31277
21,23,22,6,31285,31277
21,23,21,37,31290,31258
21,23,21,36,31258,31609
21,23,21,38,31105,31400
21,24,21,37,31290,31258
21,24,21,36,31263,31111
21,24,21,47,31215,31314
21,24,21,31,31100,31234
21,22,21,25,31614,31640
21,22,21,27,31257,31204
21,22,21,33,31230,31280
21,22,21,33,31201,31109
21,22,21,25,31017,31029
21,22,21,37,31202,31257
21,22,21,31,31277,31265
21,22,21,27,31201,31229
21,22,21,26,31241,31202
21,21,21,51,31621,31622
21,21,21,49,31257,31257
21,21,21,41,31208,31607
21,21,21,41,31613,31804
21,21,21,51,31621,31622
21,21,21,27,31123,31201
21,21,21,41,31256,31237
21,21,21,44,31613,31609
21,21,21,49,31257,31257
21,21,21,30,31022,31019
21,21,21,30,31266,31114
21,21,21,40,31257,31244
21,21,21,39,31242,31609
21,21,21,28,31237,31213
21,21,21,35,31107,31400
21,22,21,28,31618,31623
21,20,21,28,31506,31203
21,20,21,44,31289,31288
21,20,21,52,31237,31514
21,20,21,28,31201,31109
21,20,21,31,31223,31201
21,20,21,34,31101,31604
21,20,21,28,31023,31065
21,20,21,32,31229,31602
21,20,21,28,31506,31203
21,20,21,29,31048,31041
21,20,21,30,31404,31107
21,20,21,26,31116,31104
21,19,21,30,31266,31214
21,19,21,41,31215,31289
21,19,21,21,31274,31230
21,19,21,25,31265,31223
21,19,21,44,31289,31288
21,19,21,32,31274,31623
21,19,21,41,31215,31289
21,19,21,26,31103,31268
21,19,21,27,31111,31266
21,18,21,39,31228,31110
21,18,23,26,31244,31244
21,18,21,39,31611,31609
21,18,21,30,31237,31200
21,18,21,41,31068,31016
21,18,21,42,31215,31270
21,18,21,36,31101,31602
21,19,21,27,31114,31201
21,19,21,35,31284,31641
